Date,Ranking,results,Competition,Matchday
2018-08-18,1,W,League,0
2018-08-25,3,W,League,1
2018-09-01,1,W,League,2
2018-09-16,1,W,League,3
2018-09-19,,W,European,4
2018-09-23,1,W,League,5
2018-09-26,1,W,League,6
2018-09-29,1,W,League,7
2018-10-02,,W,European,8
2018-10-06,1,W,League,9
2018-10-20,1,D,League,10
2018-10-23,,W,European,11
2018-10-27,1,W,League,12
2018-11-03,1,W,League,13
2018-11-07,,L,European,14
2018-11-11,1,W,League,15
2018-11-24,1,W,League,16
2018-11-27,,W,European,17
2018-12-01,1,W,League,18
2018-12-07,1,W,League,19
2018-12-12,,L,European,20
2018-12-15,1,W,League,21
2018-12-22,1,W,League,22
2018-12-26,1,D,League,23
2018-12-29,1,W,League,24
2019-01-12,,W,Acup,25
2019-01-16,,W,Acup,26
2019-01-21,1,W,League,27
2019-01-27,1,W,League,28
2019-01-30,,L,Acup,29
2019-02-02,1,D,League,30
2019-02-10,1,W,League,31
2019-02-15,1,W,League,32
2019-02-20,,L,European,33
2019-02-24,1,W,League,34
2019-03-03,1,W,League,35
2019-03-08,1,W,League,36
2019-03-12,,W,European,37
2019-03-17,1,L,League,38
2019-03-30,1,W,League,39
2019-04-02,1,W,League,40
2019-04-06,1,W,League,41
2019-04-10,,D,European,42
2019-04-13,1,L,League,43
2019-04-16,,L,European,44
2019-04-20,1,W,League,45
2019-04-27,1,D,League,46
2019-05-03,1,D,League,47
2019-05-12,1,L,League,48
2019-05-19,1,D,League,49
2019-05-26,1,L,League,50
